pure_protection_grouped_by,subcategory,category,date,number_of_sales
Number of advised and non-advised sales by product type,Advised sale,Income protection,Q1-2018,31404
Number of advised and non-advised sales by product type,Advised sale,Income protection,Q1-2019,37079
Number of advised and non-advised sales by product type,Advised sale,Income protection,Q1-2021,45017
Number of advised and non-advised sales by product type,Advised sale,Income protection,Q1-2020,50993
Number of advised and non-advised sales by product type,Advised sale,Income protection,Q2-2017,33372
Number of advised and non-advised sales by product type,Advised sale,Income protection,Q2-2020,34395
Number of advised and non-advised sales by product type,Advised sale,Income protection,Q2-2018,35404
Number of advised and non-advised sales by product type,Advised sale,Income protection,Q2-2019,41684
Number of advised and non-advised sales by product type,Advised sale,Income protection,Q2-2021,48375
Number of advised and non-advised sales by product type,Advised sale,Income protection,Q3-2017,35228
Number of advised and non-advised sales by product type,Advised sale,Income protection,Q3-2018,36427
Number of advised and non-advised sales by product type,Advised sale,Income protection,Q3-2020,38304
Number of advised and non-advised sales by product type,Advised sale,Income protection,Q3-2019,44331
Number of advised and non-advised sales by product type,Advised sale,Income protection,Q3-2021,45482
Number of advised and non-advised sales by product type,Advised sale,Income protection,Q4-2017,35101
Number of advised and non-advised sales by product type,Advised sale,Income protection,Q4-2018,39951
Number of advised and non-advised sales by product type,Advised sale,Income protection,Q4-2020,45427
Number of advised and non-advised sales by product type,Advised sale,Income protection,Q4-2021,45759
Number of advised and non-advised sales by product type,Advised sale,Income protection,Q4-2019,45898
Number of advised and non-advised sales by product type,Advised sale,Standalone critical illness,Q1-2018,1710
Number of advised and non-advised sales by product type,Advised sale,Standalone critical illness,Q1-2017,2291
Number of advised and non-advised sales by product type,Advised sale,Standalone critical illness,Q1-2019,3715
Number of advised and non-advised sales by product type,Advised sale,Standalone critical illness,Q1-2021,9220
Number of advised and non-advised sales by product type,Advised sale,Standalone critical illness,Q1-2020,9899
Number of advised and non-advised sales by product type,Advised sale,Standalone critical illness,Q2-2018,1782
Number of advised and non-advised sales by product type,Advised sale,Standalone critical illness,Q2-2017,2020
Number of advised and non-advised sales by product type,Advised sale,Standalone critical illness,Q2-2019,3658
Number of advised and non-advised sales by product type,Advised sale,Standalone critical illness,Q2-2020,6309
Number of advised and non-advised sales by product type,Advised sale,Standalone critical illness,Q2-2021,9291
Number of advised and non-advised sales by product type,Advised sale,Standalone critical illness,Q3-2018,2063
Number of advised and non-advised sales by product type,Advised sale,Standalone critical illness,Q3-2017,2308
Number of advised and non-advised sales by product type,Advised sale,Standalone critical illness,Q3-2019,3333
Number of advised and non-advised sales by product type,Advised sale,Standalone critical illness,Q3-2020,7125
Number of advised and non-advised sales by product type,Advised sale,Standalone critical illness,Q3-2021,8902
Number of advised and non-advised sales by product type,Advised sale,Standalone critical illness,Q4-2017,1998
Number of advised and non-advised sales by product type,Advised sale,Standalone critical illness,Q4-2019,2533
Number of advised and non-advised sales by product type,Advised sale,Standalone critical illness,Q4-2018,3097
Number of advised and non-advised sales by product type,Advised sale,Standalone critical illness,Q4-2020,8127
Number of advised and non-advised sales by product type,Advised sale,Standalone critical illness,Q4-2021,8747
Number of advised and non-advised sales by product type,Non advised sale,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q1-2017,14718
Number of advised and non-advised sales by product type,Non advised sale,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q1-2018,19845
Number of advised and non-advised sales by product type,Non advised sale,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q1-2019,20647
Number of advised and non-advised sales by product type,Non advised sale,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q1-2021,21179
Number of advised and non-advised sales by product type,Non advised sale,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q1-2020,21465
Number of advised and non-advised sales by product type,Non advised sale,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q2-2017,14836
Number of advised and non-advised sales by product type,Non advised sale,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q2-2020,17177
Number of advised and non-advised sales by product type,Non advised sale,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q2-2018,18645
Number of advised and non-advised sales by product type,Non advised sale,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q2-2021,19408
Number of advised and non-advised sales by product type,Non advised sale,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q2-2019,20001
Number of advised and non-advised sales by product type,Non advised sale,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q3-2017,15769
Number of advised and non-advised sales by product type,Non advised sale,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q3-2021,18012
Number of advised and non-advised sales by product type,Non advised sale,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q3-2020,18517
Number of advised and non-advised sales by product type,Non advised sale,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q3-2018,19065
Number of advised and non-advised sales by product type,Non advised sale,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q3-2019,20124
Number of advised and non-advised sales by product type,Non advised sale,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q4-2020,16113
Number of advised and non-advised sales by product type,Non advised sale,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q4-2017,16724
Number of advised and non-advised sales by product type,Non advised sale,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q4-2018,17052
Number of advised and non-advised sales by product type,Non advised sale,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q4-2019,22836
Number of advised and non-advised sales by product type,Non advised sale,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q4-2021,23454
Number of advised and non-advised sales by product type,Non advised sale,Income protection,Q1-2017,2841
Number of advised and non-advised sales by product type,Non advised sale,Income protection,Q1-2021,3094
Number of advised and non-advised sales by product type,Non advised sale,Income protection,Q1-2018,3553
Number of advised and non-advised sales by product type,Non advised sale,Income protection,Q1-2020,4068
Number of advised and non-advised sales by product type,Non advised sale,Income protection,Q1-2019,6208
Number of advised and non-advised sales by product type,Non advised sale,Income protection,Q2-2020,2748
Number of advised and non-advised sales by product type,Non advised sale,Income protection,Q2-2017,3370
Number of advised and non-advised sales by product type,Non advised sale,Income protection,Q2-2021,3440
Number of advised and non-advised sales by product type,Non advised sale,Income protection,Q2-2018,4501
Number of advised and non-advised sales by product type,Non advised sale,Income protection,Q2-2019,7193
Number of advised and non-advised sales by product type,Non advised sale,Income protection,Q3-2020,2510
Number of advised and non-advised sales by product type,Non advised sale,Income protection,Q3-2021,2629
Number of advised and non-advised sales by product type,Non advised sale,Income protection,Q3-2017,3943
Number of advised and non-advised sales by product type,Non advised sale,Income protection,Q3-2018,4474
Number of advised and non-advised sales by product type,Non advised sale,Income protection,Q3-2019,6164
Number of advised and non-advised sales by product type,Non advised sale,Income protection,Q4-2020,2681
Number of advised and non-advised sales by product type,Non advised sale,Income protection,Q4-2021,2926
Number of advised and non-advised sales by product type,Non advised sale,Income protection,Q4-2017,3795
Number of advised and non-advised sales by product type,Non advised sale,Income protection,Q4-2018,5005
Number of advised and non-advised sales by product type,Non advised sale,Income protection,Q4-2019,5662
Number of advised and non-advised sales by product type,Non advised sale,Standalone critical illness,Q1-2018,1270
Number of advised and non-advised sales by product type,Non advised sale,Standalone critical illness,Q1-2017,2000
Number of advised and non-advised sales by product type,Non advised sale,Standalone critical illness,Q1-2019,2910
Number of advised and non-advised sales by product type,Non advised sale,Standalone critical illness,Q1-2020,6619
Number of advised and non-advised sales by product type,Non advised sale,Standalone critical illness,Q1-2021,6892
Number of advised and non-advised sales by product type,Non advised sale,Standalone critical illness,Q2-2018,925
Number of advised and non-advised sales by product type,Non advised sale,Standalone critical illness,Q2-2017,2129
Number of advised and non-advised sales by product type,Non advised sale,Standalone critical illness,Q2-2019,2185
Number of advised and non-advised sales by product type,Non advised sale,Standalone critical illness,Q2-2020,4996
Number of advised and non-advised sales by product type,Non advised sale,Standalone critical illness,Q2-2021,6337
Number of advised and non-advised sales by product type,Non advised sale,Standalone critical illness,Q3-2018,987
Number of advised and non-advised sales by product type,Non advised sale,Standalone critical illness,Q3-2017,2261
Number of advised and non-advised sales by product type,Non advised sale,Standalone critical illness,Q3-2019,2360
Number of advised and non-advised sales by product type,Non advised sale,Standalone critical illness,Q3-2020,5618
Number of advised and non-advised sales by product type,Non advised sale,Standalone critical illness,Q3-2021,5946
Number of advised and non-advised sales by product type,Non advised sale,Standalone critical illness,Q4-2017,2037
Number of advised and non-advised sales by product type,Non advised sale,Standalone critical illness,Q4-2018,2514
Number of advised and non-advised sales by product type,Non advised sale,Standalone critical illness,Q4-2019,3308
Number of advised and non-advised sales by product type,Non advised sale,Standalone critical illness,Q4-2020,5265
Number of advised and non-advised sales by product type,Non advised sale,Standalone critical illness,Q4-2021,5338
Number of provider and non-provider sales by product type,Non-provider,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q1-2017,74182
Number of provider and non-provider sales by product type,Non-provider,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q1-2018,75134
Number of provider and non-provider sales by product type,Non-provider,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q1-2019,89317
Number of provider and non-provider sales by product type,Non-provider,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q1-2020,97944
Number of provider and non-provider sales by product type,Non-provider,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q1-2021,102354
Number of provider and non-provider sales by product type,Non-provider,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q2-2017,74091
Number of provider and non-provider sales by product type,Non-provider,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q2-2018,78222
Number of provider and non-provider sales by product type,Non-provider,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q2-2020,80285
Number of provider and non-provider sales by product type,Non-provider,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q2-2019,80844
Number of provider and non-provider sales by product type,Non-provider,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q2-2021,100345
Number of provider and non-provider sales by product type,Non-provider,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q3-2017,74287
Number of provider and non-provider sales by product type,Non-provider,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q3-2018,80981
Number of provider and non-provider sales by product type,Non-provider,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q3-2019,84692
Number of provider and non-provider sales by product type,Non-provider,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q3-2020,87430
