retail_investments_grouped_by,date,category,subcategory,number_of_sales
Number of advised and non-advised sales by product type,Q2-2018,ISA,Non advised sale,50650
Number of advised and non-advised sales by product type,Q2-2020,ISA,Non advised sale,78012
Number of advised and non-advised sales by product type,Q2-2021,ISA,Non advised sale,133022
Number of advised and non-advised sales by product type,Q3-2018,ISA,Non advised sale,36345
Number of advised and non-advised sales by product type,Q3-2019,ISA,Non advised sale,36390
Number of advised and non-advised sales by product type,Q3-2017,ISA,Non advised sale,43596
Number of advised and non-advised sales by product type,Q3-2020,ISA,Non advised sale,70525
Number of advised and non-advised sales by product type,Q3-2021,ISA,Non advised sale,118324
Number of advised and non-advised sales by product type,Q4-2018,ISA,Non advised sale,24089
Number of advised and non-advised sales by product type,Q4-2019,ISA,Non advised sale,37004
Number of advised and non-advised sales by product type,Q4-2017,ISA,Non advised sale,45465
Number of advised and non-advised sales by product type,Q4-2020,ISA,Non advised sale,94229
Number of advised and non-advised sales by product type,Q4-2021,ISA,Non advised sale,114359
Number of advised and non-advised sales by product type,Q1-2021,Long term care insurance,Advised and non advised sales,133
Number of advised and non-advised sales by product type,Q1-2019,Long term care insurance,Advised and non advised sales,167
Number of advised and non-advised sales by product type,Q1-2020,Long term care insurance,Advised and non advised sales,169
Number of advised and non-advised sales by product type,Q1-2017,Long term care insurance,Advised and non advised sales,236
Number of advised and non-advised sales by product type,Q1-2018,Long term care insurance,Advised and non advised sales,269
Number of advised and non-advised sales by product type,Q2-2017,Long term care insurance,Advised and non advised sales,108
Number of advised and non-advised sales by product type,Q2-2020,Long term care insurance,Advised and non advised sales,118
Number of advised and non-advised sales by product type,Q2-2021,Long term care insurance,Advised and non advised sales,156
Number of advised and non-advised sales by product type,Q2-2018,Long term care insurance,Advised and non advised sales,233
Number of advised and non-advised sales by product type,Q2-2019,Long term care insurance,Advised and non advised sales,255
Number of advised and non-advised sales by product type,Q3-2020,Long term care insurance,Advised and non advised sales,160
Number of advised and non-advised sales by product type,Q3-2021,Long term care insurance,Advised and non advised sales,174
Number of advised and non-advised sales by product type,Q3-2018,Long term care insurance,Advised and non advised sales,254
Number of advised and non-advised sales by product type,Q3-2019,Long term care insurance,Advised and non advised sales,255
Number of advised and non-advised sales by product type,Q3-2017,Long term care insurance,Advised and non advised sales,282
Number of advised and non-advised sales by product type,Q4-2020,Long term care insurance,Advised and non advised sales,153
Number of advised and non-advised sales by product type,Q4-2021,Long term care insurance,Advised and non advised sales,184
Number of advised and non-advised sales by product type,Q4-2017,Long term care insurance,Advised and non advised sales,263
Number of advised and non-advised sales by product type,Q4-2019,Long term care insurance,Advised and non advised sales,272
Number of advised and non-advised sales by product type,Q4-2018,Long term care insurance,Advised and non advised sales,299
Number of advised and non-advised sales by product type,Q1-2018,Occupational pensions,Advised sale,1762
Number of advised and non-advised sales by product type,Q1-2017,Occupational pensions,Advised sale,1837
Number of advised and non-advised sales by product type,Q1-2019,Occupational pensions,Advised sale,2171
Number of advised and non-advised sales by product type,Q1-2020,Occupational pensions,Advised sale,3985
Number of advised and non-advised sales by product type,Q1-2021,Occupational pensions,Advised sale,4995
Number of advised and non-advised sales by product type,Q2-2017,Occupational pensions,Advised sale,1752
Number of advised and non-advised sales by product type,Q2-2018,Occupational pensions,Advised sale,2340
Number of advised and non-advised sales by product type,Q2-2019,Occupational pensions,Advised sale,2581
Number of advised and non-advised sales by product type,Q2-2020,Occupational pensions,Advised sale,3899
Number of advised and non-advised sales by product type,Q2-2021,Occupational pensions,Advised sale,4925
Number of advised and non-advised sales by product type,Q3-2017,Occupational pensions,Advised sale,2224
Number of advised and non-advised sales by product type,Q3-2018,Occupational pensions,Advised sale,3386
Number of advised and non-advised sales by product type,Q3-2020,Occupational pensions,Advised sale,3590
Number of advised and non-advised sales by product type,Q3-2019,Occupational pensions,Advised sale,4366
Number of advised and non-advised sales by product type,Q3-2021,Occupational pensions,Advised sale,4792
Number of advised and non-advised sales by product type,Q4-2017,Occupational pensions,Advised sale,3694
Number of advised and non-advised sales by product type,Q4-2018,Occupational pensions,Advised sale,3779
Number of advised and non-advised sales by product type,Q4-2020,Occupational pensions,Advised sale,3833
Number of advised and non-advised sales by product type,Q4-2019,Occupational pensions,Advised sale,5416
Number of advised and non-advised sales by product type,Q4-2021,Occupational pensions,Advised sale,5507
Number of advised and non-advised sales by product type,Q1-2019,Occupational pensions,Non advised sale,21090
Number of advised and non-advised sales by product type,Q1-2018,Occupational pensions,Non advised sale,22859
Number of advised and non-advised sales by product type,Q1-2017,Occupational pensions,Non advised sale,29735
Number of advised and non-advised sales by product type,Q1-2020,Occupational pensions,Non advised sale,35100
Number of advised and non-advised sales by product type,Q1-2021,Occupational pensions,Non advised sale,52478
Number of advised and non-advised sales by product type,Q2-2020,Occupational pensions,Non advised sale,28500
Number of advised and non-advised sales by product type,Q2-2019,Occupational pensions,Non advised sale,30231
Number of advised and non-advised sales by product type,Q2-2021,Occupational pensions,Non advised sale,34653
Number of advised and non-advised sales by product type,Q2-2017,Occupational pensions,Non advised sale,34905
Number of advised and non-advised sales by product type,Q2-2018,Occupational pensions,Non advised sale,56467
Number of advised and non-advised sales by product type,Q3-2019,Occupational pensions,Non advised sale,26082
Number of advised and non-advised sales by product type,Q3-2020,Occupational pensions,Non advised sale,28159
Number of advised and non-advised sales by product type,Q3-2021,Occupational pensions,Non advised sale,28613
Number of advised and non-advised sales by product type,Q3-2018,Occupational pensions,Non advised sale,30662
Number of advised and non-advised sales by product type,Q3-2017,Occupational pensions,Non advised sale,51791
Number of advised and non-advised sales by product type,Q4-2017,Occupational pensions,Non advised sale,26597
Number of advised and non-advised sales by product type,Q4-2019,Occupational pensions,Non advised sale,36924
Number of advised and non-advised sales by product type,Q4-2020,Occupational pensions,Non advised sale,44029
Number of advised and non-advised sales by product type,Q4-2021,Occupational pensions,Non advised sale,45935
Number of advised and non-advised sales by product type,Q4-2018,Occupational pensions,Non advised sale,48208
Number of advised and non-advised sales by product type,Q1-2017,Personal pensions,Advised sale,231307
Number of advised and non-advised sales by product type,Q1-2020,Personal pensions,Advised sale,237593
Number of advised and non-advised sales by product type,Q1-2019,Personal pensions,Advised sale,251386
Number of advised and non-advised sales by product type,Q1-2018,Personal pensions,Advised sale,256985
Number of advised and non-advised sales by product type,Q1-2021,Personal pensions,Advised sale,257938
Number of advised and non-advised sales by product type,Q2-2021,Personal pensions,Advised sale,146292
Number of advised and non-advised sales by product type,Q2-2020,Personal pensions,Advised sale,166561
Number of advised and non-advised sales by product type,Q2-2017,Personal pensions,Advised sale,246660
Number of advised and non-advised sales by product type,Q2-2019,Personal pensions,Advised sale,259183
Number of advised and non-advised sales by product type,Q2-2018,Personal pensions,Advised sale,264536
Number of advised and non-advised sales by product type,Q3-2020,Personal pensions,Advised sale,144048
Number of advised and non-advised sales by product type,Q3-2021,Personal pensions,Advised sale,152103
Number of advised and non-advised sales by product type,Q3-2019,Personal pensions,Advised sale,222043
Number of advised and non-advised sales by product type,Q3-2018,Personal pensions,Advised sale,243592
Number of advised and non-advised sales by product type,Q3-2017,Personal pensions,Advised sale,262511
Number of advised and non-advised sales by product type,Q4-2021,Personal pensions,Advised sale,160788
Number of advised and non-advised sales by product type,Q4-2020,Personal pensions,Advised sale,189904
Number of advised and non-advised sales by product type,Q4-2019,Personal pensions,Advised sale,234514
Number of advised and non-advised sales by product type,Q4-2018,Personal pensions,Advised sale,261854
Number of advised and non-advised sales by product type,Q4-2017,Personal pensions,Advised sale,268969
Number of advised and non-advised sales by product type,Q1-2019,Personal pensions,Non advised sale,287383
Number of advised and non-advised sales by product type,Q1-2018,Personal pensions,Non advised sale,288271
Number of advised and non-advised sales by product type,Q1-2020,Personal pensions,Non advised sale,335107
Number of advised and non-advised sales by product type,Q1-2017,Personal pensions,Non advised sale,349786
Number of advised and non-advised sales by product type,Q1-2021,Personal pensions,Non advised sale,361288
Number of advised and non-advised sales by product type,Q2-2020,Personal pensions,Non advised sale,282778
Number of advised and non-advised sales by product type,Q2-2021,Personal pensions,Non advised sale,310851
Number of advised and non-advised sales by product type,Q2-2019,Personal pensions,Non advised sale,322068
Number of advised and non-advised sales by product type,Q2-2018,Personal pensions,Non advised sale,331317
Number of advised and non-advised sales by product type,Q2-2017,Personal pensions,Non advised sale,368775
Number of advised and non-advised sales by product type,Q3-2020,Personal pensions,Non advised sale,240558
Number of advised and non-advised sales by product type,Q3-2017,Personal pensions,Non advised sale,316800
Number of advised and non-advised sales by product type,Q3-2018,Personal pensions,Non advised sale,327529
Number of advised and non-advised sales by product type,Q3-2019,Personal pensions,Non advised sale,335146
Number of advised and non-advised sales by product type,Q3-2021,Personal pensions,Non advised sale,341656
Number of advised and non-advised sales by product type,Q4-2020,Personal pensions,Non advised sale,295595
Number of advised and non-advised sales by product type,Q4-2018,Personal pensions,Non advised sale,324565
Number of advised and non-advised sales by product type,Q4-2019,Personal pensions,Non advised sale,363439
Number of advised and non-advised sales by product type,Q4-2017,Personal pensions,Non advised sale,371896
Number of advised and non-advised sales by product type,Q4-2021,Personal pensions,Non advised sale,389095
Number of advised and non-advised sales by product type,Q1-2021,SCARPs,Advised sale,1521
Number of advised and non-advised sales by product type,Q1-2019,SCARPs,Advised sale,2544
Number of advised and non-advised sales by product type,Q1-2020,SCARPs,Advised sale,3329
Number of advised and non-advised sales by product type,Q1-2018,SCARPs,Advised sale,4160
Number of advised and non-advised sales by product type,Q1-2017,SCARPs,Advised sale,5296
Number of advised and non-advised sales by product type,Q2-2021,SCARPs,Advised sale,728
Number of advised and non-advised sales by product type,Q2-2020,SCARPs,Advised sale,2039
Number of advised and non-advised sales by product type,Q2-2018,SCARPs,Advised sale,2922
Number of advised and non-advised sales by product type,Q2-2019,SCARPs,Advised sale,3333
Number of advised and non-advised sales by product type,Q2-2017,SCARPs,Advised sale,4654
Number of advised and non-advised sales by product type,Q3-2021,SCARPs,Advised sale,910
Number of advised and non-advised sales by product type,Q3-2020,SCARPs,Advised sale,1525
Number of advised and non-advised sales by product type,Q3-2019,SCARPs,Advised sale,2283
Number of advised and non-advised sales by product type,Q3-2018,SCARPs,Advised sale,2428
Number of advised and non-advised sales by product type,Q3-2017,SCARPs,Advised sale,3996
Number of advised and non-advised sales by product type,Q4-2021,SCARPs,Advised sale,977
Number of advised and non-advised sales by product type,Q4-2020,SCARPs,Advised sale,1913
Number of advised and non-advised sales by product type,Q4-2018,SCARPs,Advised sale,2633
Number of advised and non-advised sales by product type,Q4-2019,SCARPs,Advised sale,2920
Number of advised and non-advised sales by product type,Q4-2017,SCARPs,Advised sale,3093
Number of advised and non-advised sales by product type,Q1-2021,SCARPs,Non advised sale,89
Number of advised and non-advised sales by product type,Q1-2019,SCARPs,Non advised sale,369
Number of advised and non-advised sales by product type,Q1-2020,SCARPs,Non advised sale,450
Number of advised and non-advised sales by product type,Q1-2017,SCARPs,Non advised sale,853
Number of advised and non-advised sales by product type,Q1-2018,SCARPs,Non advised sale,1054
Number of advised and non-advised sales by product type,Q2-2020,SCARPs,Non advised sale,231
Number of advised and non-advised sales by product type,Q2-2019,SCARPs,Non advised sale,351
Number of advised and non-advised sales by product type,Q2-2018,SCARPs,Non advised sale,452
Number of advised and non-advised sales by product type,Q2-2017,SCARPs,Non advised sale,1090
Number of advised and non-advised sales by product type,Q3-2020,SCARPs,Non advised sale,90
Number of advised and non-advised sales by product type,Q3-2019,SCARPs,Non advised sale,234
Number of advised and non-advised sales by product type,Q3-2018,SCARPs,Non advised sale,684
Number of advised and non-advised sales by product type,Q3-2017,SCARPs,Non advised sale,1400
Number of advised and non-advised sales by product type,Q4-2020,SCARPs,Non advised sale,79
Number of advised and non-advised sales by product type,Q4-2019,SCARPs,Non advised sale,443
Number of advised and non-advised sales by product type,Q4-2018,SCARPs,Non advised sale,588
Number of advised and non-advised sales by product type,Q4-2017,SCARPs,Non advised sale,1127
Number of advised and non-advised sales by product type,Q1-2019,Trusts and OEICs,Advised sale,5573
Number of advised and non-advised sales by product type,Q1-2020,Trusts and OEICs,Advised sale,6757
Number of advised and non-advised sales by product type,Q1-2018,Trusts and OEICs,Advised sale,8102
Number of advised and non-advised sales by product type,Q1-2021,Trusts and OEICs,Advised sale,8130
Number of advised and non-advised sales by product type,Q1-2017,Trusts and OEICs,Advised sale,10895
Number of advised and non-advised sales by product type,Q2-2020,Trusts and OEICs,Advised sale,4151
Number of advised and non-advised sales by product type,Q2-2019,Trusts and OEICs,Advised sale,4632
Number of advised and non-advised sales by product type,Q2-2018,Trusts and OEICs,Advised sale,6217
Number of advised and non-advised sales by product type,Q2-2021,Trusts and OEICs,Advised sale,6845
Number of advised and non-advised sales by product type,Q2-2017,Trusts and OEICs,Advised sale,7967
Number of advised and non-advised sales by product type,Q3-2020,Trusts and OEICs,Advised sale,4078
Number of advised and non-advised sales by product type,Q3-2019,Trusts and OEICs,Advised sale,4936
Number of advised and non-advised sales by product type,Q3-2018,Trusts and OEICs,Advised sale,6471
Number of advised and non-advised sales by product type,Q3-2017,Trusts and OEICs,Advised sale,8203
Number of advised and non-advised sales by product type,Q3-2021,Trusts and OEICs,Advised sale,8658
Number of advised and non-advised sales by product type,Q4-2019,Trusts and OEICs,Advised sale,5548
Number of advised and non-advised sales by product type,Q4-2020,Trusts and OEICs,Advised sale,5695
Number of advised and non-advised sales by product type,Q4-2018,Trusts and OEICs,Advised sale,6538
Number of advised and non-advised sales by product type,Q4-2017,Trusts and OEICs,Advised sale,8248
Number of advised and non-advised sales by product type,Q4-2021,Trusts and OEICs,Advised sale,8850
Number of advised and non-advised sales by product type,Q1-2019,Trusts and OEICs,Non advised sale,39345
Number of advised and non-advised sales by product type,Q1-2020,Trusts and OEICs,Non advised sale,43906
Number of advised and non-advised sales by product type,Q1-2018,Trusts and OEICs,Non advised sale,44507
Number of advised and non-advised sales by product type,Q1-2017,Trusts and OEICs,Non advised sale,47115
Number of advised and non-advised sales by product type,Q1-2021,Trusts and OEICs,Non advised sale,48282
Number of advised and non-advised sales by product type,Q2-2020,Trusts and OEICs,Non advised sale,40809
Number of advised and non-advised sales by product type,Q2-2019,Trusts and OEICs,Non advised sale,43796
Number of advised and non-advised sales by product type,Q2-2018,Trusts and OEICs,Non advised sale,45581
Number of advised and non-advised sales by product type,Q2-2017,Trusts and OEICs,Non advised sale,46506
Number of advised and non-advised sales by product type,Q2-2021,Trusts and OEICs,Non advised sale,101939
Number of advised and non-advised sales by product type,Q3-2020,Trusts and OEICs,Non advised sale,38246
Number of advised and non-advised sales by product type,Q3-2019,Trusts and OEICs,Non advised sale,40854
Number of advised and non-advised sales by product type,Q3-2018,Trusts and OEICs,Non advised sale,42730
Number of advised and non-advised sales by product type,Q3-2017,Trusts and OEICs,Non advised sale,43060
Number of advised and non-advised sales by product type,Q3-2021,Trusts and OEICs,Non advised sale,47543
Number of advised and non-advised sales by product type,Q4-2019,Trusts and OEICs,Non advised sale,42646
Number of advised and non-advised sales by product type,Q4-2020,Trusts and OEICs,Non advised sale,43605
Number of advised and non-advised sales by product type,Q4-2018,Trusts and OEICs,Non advised sale,44100
Number of advised and non-advised sales by product type,Q4-2017,Trusts and OEICs,Non advised sale,47523
Number of advised and non-advised sales by product type,Q4-2021,Trusts and OEICs,Non advised sale,49515
Number of provider and non-provider sales by sector,Q1-2019,Investment Management,Non-provider,30122
Number of provider and non-provider sales by sector,Q1-2018,Investment Management,Non-provider,31363
Number of provider and non-provider sales by sector,Q1-2020,Investment Management,Non-provider,33558
Number of provider and non-provider sales by sector,Q1-2017,Investment Management,Non-provider,41751
Number of provider and non-provider sales by sector,Q1-2021,Investment Management,Non-provider,43670
Number of provider and non-provider sales by sector,Q2-2020,Investment Management,Non-provider,29816
Number of provider and non-provider sales by sector,Q2-2019,Investment Management,Non-provider,33088
Number of provider and non-provider sales by sector,Q2-2017,Investment Management,Non-provider,38515
Number of provider and non-provider sales by sector,Q2-2018,Investment Management,Non-provider,41867
Number of provider and non-provider sales by sector,Q2-2021,Investment Management,Non-provider,50329
Number of provider and non-provider sales by sector,Q3-2020,Investment Management,Non-provider,25777
Number of provider and non-provider sales by sector,Q3-2018,Investment Management,Non-provider,28677
Number of provider and non-provider sales by sector,Q3-2019,Investment Management,Non-provider,29421
Number of provider and non-provider sales by sector,Q3-2017,Investment Management,Non-provider,37257
Number of provider and non-provider sales by sector,Q3-2021,Investment Management,Non-provider,54371
Number of provider and non-provider sales by sector,Q4-2018,Investment Management,Non-provider,30392
Number of provider and non-provider sales by sector,Q4-2017,Investment Management,Non-provider,34642
Number of provider and non-provider sales by sector,Q4-2020,Investment Management,Non-provider,37386
Number of provider and non-provider sales by sector,Q4-2019,Investment Management,Non-provider,43219
Number of provider and non-provider sales by sector,Q4-2021,Investment Management,Non-provider,68336
Number of provider and non-provider sales by sector,Q1-2018,Investment Management,Provider,98938
Number of provider and non-provider sales by sector,Q1-2017,Investment Management,Provider,100394
Number of provider and non-provider sales by sector,Q1-2019,Investment Management,Provider,128524
Number of provider and non-provider sales by sector,Q1-2020,Investment Management,Provider,149419
Number of provider and non-provider sales by sector,Q1-2021,Investment Management,Provider,203473
Number of provider and non-provider sales by sector,Q2-2017,Investment Management,Provider,112357
Number of provider and non-provider sales by sector,Q2-2019,Investment Management,Provider,145102
Number of provider and non-provider sales by sector,Q2-2020,Investment Management,Provider,151301
Number of provider and non-provider sales by sector,Q2-2018,Investment Management,Provider,162139
Number of provider and non-provider sales by sector,Q2-2021,Investment Management,Provider,233958
Number of provider and non-provider sales by sector,Q3-2017,Investment Management,Provider,100201
Number of provider and non-provider sales by sector,Q3-2020,Investment Management,Provider,115787
Number of provider and non-provider sales by sector,Q3-2019,Investment Management,Provider,123700
Number of provider and non-provider sales by sector,Q3-2018,Investment Management,Provider,128659
Number of provider and non-provider sales by sector,Q3-2021,Investment Management,Provider,182970
Number of provider and non-provider sales by sector,Q4-2017,Investment Management,Provider,115764
Number of provider and non-provider sales by sector,Q4-2019,Investment Management,Provider,122965
Number of provider and non-provider sales by sector,Q4-2018,Investment Management,Provider,147282
